frame_id,left_knee_angle,right_knee_angle,avg_knee_angle,knee_symmetry,trunk_lean,shoulder_width,feet_width,stance_ratio,hip_height,left_heel_lift,right_heel_lift,left_shoulder_angle,right_shoulder_angle,avg_shoulder_angle,hip_shoulder_offset
0,120.85469473861563,118.23355104467942,119.54412289164753,2.6211436939362187,53.80727492070225,0.3908957553514425,10.046348786556536,25.70077302771212,0.5904484771001219,-8.95873080394015,-8.76674127574574,22.76076800595952,14.537932451734642,18.64935022884708,0.8069618702325794
1,120.86286881077316,118.21159714007115,119.53723297542216,2.651271670702016,53.77399404042506,0.39068972853620626,10.037489774126705,25.691650814786374,0.5909172252323913,-8.945949727157103,-8.749326918517209,22.652497407402006,14.64449794028684,18.648497673844425,0.8066189222461282
2,120.6818248266101,118.39870686925777,119.54026584793394,2.2831179573523315,53.52631820154976,0.39355897337610735,10.081410075963538,25.615943586644146,0.5943981967756622,-8.994527731134799,-8.799280289612692,22.54076612010825,14.67037108980982,18.605568604959032,0.8040565698463
3,120.75479913875917,118.41141069130875,119.58310491503396,2.3433884474504225,53.75314000503045,0.394647536016656,10.088281683955971,25.562698865631166,0.5912103771353954,-8.987320957800303,-8.809180026280103,22.66388614547424,14.450898271438312,18.557392208456278,0.8064032521813471
4,120.723329420234,118.67993528777022,119.7016323540021,2.0433941324637743,53.76153136519964,0.3960305868494119,10.079386085440762,25.450965074847364,0.5910922338129485,-9.064170128388543,-8.809992471614784,22.598944534666945,14.41201559201961,18.505480063343278,0.8064897845283602
5,120.59545799700777,118.8429414585662,119.71919972778699,1.7525165384415686,53.148088604353084,0.3960432574167192,10.038997116029089,25.348169877554923,0.5996931737901234,-9.093865916987099,-8.78223466345925,22.562983501245906,14.802056310670938,18.682519905958422,0.8001153828371792
6,120.47590888759805,118.86413860783871,119.67002374771837,1.611770279759341,53.06845446490943,0.39776827973621587,10.034428070478848,25.226754758771886,0.6008047332005719,-9.056926788607651,-8.767281596923684,22.504169785051396,14.97979675123745,18.741983268144423,0.799281210083747
7,120.37079695558054,118.92036110275733,119.64557902916894,1.4504358528232189,52.91783737899304,0.3971133045270975,10.014004424905204,25.21693202875267,0.6029038828640592,-9.048376770462404,-8.730060664055689,22.472824851439807,15.177869669482218,18.82534726046101,0.7976992143126038
8,120.27733702389706,119.02271324801652,119.65002513595678,1.254623775880546,52.82075138618965,0.39956074327578,10.037094740336542,25.12025965761411,0.6042545935404331,-9.081297703476569,-8.746578377781805,22.382274845347347,15.373548717227361,18.877911781287352,0.7966763324551251
9,120.35280830423858,119.15123988772328,119.75202409598093,1.2015684165153004,52.95962555316417,0.40072314742590337,10.062189941340348,25.110016468875052,0.602321699792101,-9.103728683253088,-8.764896720843389,22.27963525686251,15.454970043774185,18.867302650318347,0.7981384235798412
